行号	篇	上文	本句	下文	候选(择一/或写真值)	正确说话人
A01	狼与尾巴的圆舞	主教区的人听了显得很为难。	“可、可是艾莉莎小姐，插手这件事，多半不会有好下场啊。您真的想用那张汇票救劳德商行吗？他们欠钱不给耶？”	“如果劳德商行有救，那么帮这个忙，有好处的不只是他们而已。”	- ｜  随行村人（这里村人和主祭是同一个群体，他们再这段内没有区分，都是主教区的人）
A02	狼与尾巴的圆舞	罗伦斯耸耸肩，对能讨赫萝欢心感到很满足。	“人类社会就如同一个圆环……这种话，由刚刚才被人牵着走的我来说，一点安慰效果也没有吧。”	艾莉莎拿着劳德硬塞给她的羊皮纸，有些愤恨地说。	赫萝
A03	狼与尾巴的圆舞	不过她不是因为孤单而开心不起来，就只是一只被狐狸捉弄而懵了的狼。	“怎么样，这就是商人的魔法。”	赫萝赫然回神，在雾里寻找猎物般眯眼。	罗伦斯 ｜ 赫萝
A04	狼与宝石之海	“那颗大树说，他在故乡的海里采集过宝石。汝可记得呗？缪莉喜欢的游吟诗人的故事里，不是也常有那种结局呗？”	“你是说……池中的鱼儿的确成为了村民们眼里的宝石，可喜可贺可喜可贺……这样的仪式？”	“……实际从口中说出来，才发现真是廉价得很呐。”	罗伦斯
A05	两匹狼的婚礼	“原来是这么回事啊。哎呀，我也能感同身受。我说我想游学学写诗的时候，差点没把我父亲气死。但是我好劝歹劝，跟他约	“哈哈哈，到哪里都一样呢。”	梅尔库里欧和缪里好像转眼就打成一片了。	梅尔库里欧
A06	狼与宝石之海	“不，不是的。村里的人们说他们已经被商会拒绝，余下的希望只有教会。”	“……”	之所以没能立即说出下一句话，是因为罗伦斯觉得艾尔莎刚才说的话十分不可思议。	罗伦斯（但这种没有实际意义的，其实可以丢掉）
A07	狼与宝石之海	说到这里，他又咳了一声。	“要挖温泉，还要在祭典高潮时举办仪式，当然，就要同各方面沟通。要推荐他们大量购入硫磺粉，牵线搭桥的费用你觉得这样如何？”	他从腰带中取出算盘，拨起上面的珠子。	劳德
A08	狼与尾巴的圆舞	“我把帐簿全看过了。”	“……？”	她瞪了他们一眼，指头像箭一样刺出去。	随行村人（这里村人和主祭是同一个群体，他们再这段内没有区分，都是主教区的人）	（没有实际内容，可以省略）
A09	狼与宝石之海	罗伦斯没想到自己这么快就会成为话题的焦点，他慌忙露出商人的笑容。	“喔喔，原来如此，幸会，幸会。”	老人郑重地低头行礼，同时自我介绍道。	苏尔特
A10	狼与尾巴的圆舞	但若能拿回呆帐，用那笔钱减轻自己的债务也不坏。	更别说那是他们领钱的条件，眼前又有个如圣职人员般准备说教的艾莉莎，之前将商人关进牢里的主教也在呢。	根本没有拒绝的余地。	（无人说·非台词/写景）
A11	两匹狼的婚礼	我也能够想像艾尔娣力抗暴徒的模样。	“可是你真的能拿走他们的武器吗？不太可能吧。”	“他们都是武夫，直说要没收当然会引来戒备。可是婚礼要在礼拜堂举行，假如他们真的打算暗杀，一定会以为赢定了而大意	柯尔
A12	狼与尾巴的圆舞	罗伦斯请艾莉莎让他看看羊皮纸，上面有笔不小的金额。	“拿来付给我们的话，其实还差一点……话说他是当作钱这样就付清了吗？”	“这个嘛……要拿这来当货币，其实也是可以。问题就是这没办法像货币那样随手买点麦子或肉就是了。”	罗伦斯
A13	狼与尾巴的圆舞	以后双方还要长期往来呢。	“那我们走了。”	罗伦斯就此率领艾莉莎、萨罗尼亚主教和助威用的十余人，浩浩荡荡前往酿造公会。	 罗伦斯
A14	狼与尾巴的圆舞	有三个穿便服，像是圣职人员的男子。另外两个服装品质不错，但从他们粗里粗气的样子看来，显然是代表主教区村庄而来的	“就是他们？”	“对。他们是我的老友，罗伦斯先生和赫萝小姐。”	三个圣职人员
A15	狼与宝石之海	神的仆人中最称得上楷模的人，艾尔莎，带着祭典高潮时也不改变的严肃表情出现了。	“请。”	她恭敬地捧起柯尔编纂的圣典白话译本抄译递给拉德恩，书被事先翻到了某一页。	艾尔莎 （过短，其实可以丢掉）
A16	狼与宝石之海	赫萝起先还觉得可惜似地闭着口，而后露出牙齿狡黠地一笑，说道。	“就是珊瑚。那东西不是被人叫做海中的树木呗？”	“对，然后……？”	 赫萝
A17	狼与宝石之海	拉德恩拿着圣典抄译和渔网，不知所措地愣在原地。	最后出现的撒罗尼亚主教面无表情地开了口。	“拉德恩，神虔诚的仆人啊。我依据圣典，在此向你宣告神的话语。”	（无人说·非台词/写景）
A18	狼与尾巴的圆舞	劳德的音量还是一样大，可是在介绍下得知罗伦斯是商人后，觉得总算来了个懂事的人。他慢慢地大口喘气，平静了许多。	“那么，给付先后顺序也合乎正义吗？”	见到劳德额头上的血管又像浮雕一样冒出来，罗伦斯赶紧伸手制止。  艾尔莎
